percentTest,angles,n,normalize,smoothingWindowSize,rotate,datasetId,spread,groupSize,Tr,Tr(sd),Te,Te(sd)
0.7,False,128,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,62.30,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,32,0,100.00,0.00,44.93,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,70.83,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,68.06,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,64.17,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,61.11,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,64,0,100.00,0.00,47.71,0.00
0.1,False,128,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,63.89,0.00
0.3,False,128,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,68.52,0.00
0.5,False,128,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,66.67,0.00
0.7,False,128,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,61.71,0.00
0.85,False,128,True,2,False,letters_numbers_numbers2,128,0,100.00,0.00,48.86,0.00
